use_case ,type ,method ,other_minutes_sold,scenario ,missions,minutes ,cost_usd_S1,cost_usd_S2,cost_usd_S3,cost_usd_S4,cost_usd_S5,cost_usd_S6
Near Earth Robotic - Low Latency & Complex Needs,ADD,SR,No,Low,1,2047.0,132850.30000000002,148612.2,148612.2,148612.2,141857.1,153115.6
Near Earth Robotic - Low Latency & Complex Needs,ADD,SR,Yes,Low,1,2047.0,51789.100000000006,67551.0,67551.0,87816.3,83312.90000000001,94571.40000000001
Mission Operations,ADD,SR,No,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,ADD,SR,Yes,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,ADD,SR,No,Low,5,43360.0,2814064.0,3147936.0000000005,3147936.0000000005,3147936.0000000005,3004848.0000000005,3243328.0000000005
Terrestrial & Aerial,ADD,SR,Yes,Low,5,43360.0,1097008.0,1430880.0,1430880.0,1860144.0000000002,1764752.0000000002,2003232.0000000002
Human Space Flight,FDDN,DTE,No,Low,2,115860.0,24010826.400000002,24010826.400000002,24010826.400000002,24010826.400000002,24010826.400000002,24010826.400000002
Human Space Flight,FDDN,DTE,Yes,Low,2,115860.0,2944002.6,2944002.6,2982236.4000000004,3020470.2,3058704.0000000005,3109682.4000000004
Near Earth Robotic - LEO Science,FDDN,DTE,No,Low,16,155160.0,32155358.400000002,32155358.400000002,32155358.400000002,32155358.400000002,32155358.400000002,32155358.400000002
Near Earth Robotic - LEO Science,FDDN,DTE,Yes,Low,16,155160.0,3942615.6,3942615.6,3993818.4000000004,4045021.2,4096224.0000000005,4164494.4000000004
Near Earth Robotic - GEO and Near Earth,FDDN,DTE,No,Low,5,77162.5,15991156.500000002,15991156.500000002,15991156.500000002,15991156.500000002,15991156.500000002,15991156.500000002
Near Earth Robotic - GEO and Near Earth,FDDN,DTE,Yes,Low,5,77162.5,1960699.1250000002,1960699.1250000002,1986162.7500000002,2011626.3750000002,2037090.0000000002,2071041.5000000002
Deep Space Robotic,FDDN,DTE,No,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep Space Robotic,FDDN,DTE,Yes,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Near Earth Robotic - Low Latency & Complex Needs,FDDN,DTE,No,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Near Earth Robotic - Low Latency & Complex Needs,FDDN,DTE,Yes,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,FDDN,DTE,No,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,FDDN,DTE,Yes,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,FDDN,DTE,No,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,FDDN,DTE,Yes,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human Space Flight,FDDN,SR,No,Low,3,267066.0,17332583.400000002,19388991.6,19388991.6,19388991.6,18507673.8,19976536.8
Human Space Flight,FDDN,SR,Yes,Low,3,267066.0,6756769.800000001,8813178.0,8813178.0,11457131.4,10869586.200000001,12338449.200000001
Near Earth Robotic - LEO Science,FDDN,SR,No,Low,7,531055.0,34465469.5,38554593.0,38554593.0,38554593.0,36802111.5,39722914.0
Near Earth Robotic - LEO Science,FDDN,SR,Yes,Low,7,531055.0,13435691.500000002,17524815.0,17524815.0,22782259.5,21613938.5,24534741.000000004
Near Earth Robotic - GEO and Near Earth,FDDN,SR,No,Low,1,54.5,3537.05,3956.7000000000003,3956.7000000000003,3956.7000000000003,3776.8500000000004,4076.6000000000004
Near Earth Robotic - GEO and Near Earth,FDDN,SR,Yes,Low,1,54.5,1378.8500000000001,1798.5000000000002,1798.5000000000002,2338.05,2218.15,2517.9
Deep Space Robotic,FDDN,SR,No,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep Space Robotic,FDDN,SR,Yes,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Near Earth Robotic - Low Latency & Complex Needs,FDDN,SR,No,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Near Earth Robotic - Low Latency & Complex Needs,FDDN,SR,Yes,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,FDDN,SR,No,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,FDDN,SR,Yes,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,FDDN,SR,No,Low,4,34688.0,2251251.2,2518348.8000000003,2518348.8000000003,2518348.8000000003,2403878.4000000004,2594662.4000000004
Terrestrial & Aerial,FDDN,SR,Yes,Low,4,34688.0,877606.4,1144704.0,1144704.0,1488115.2000000002,1411801.6,1602585.6
Human Space Flight,ADD,DTE,No,Baseline,4,231720.0,48021652.800000004,48021652.800000004,48021652.800000004,48021652.800000004,48021652.800000004,48021652.800000004
Human Space Flight,ADD,DTE,Yes,Baseline,4,231720.0,5888005.2,5888005.2,5964472.800000001,6040940.4,6117408.000000001,6117408.000000001
Near Earth Robotic - LEO Science,ADD,DTE,No,Baseline,33,320017.5,66320426.7,66320426.7,66320426.7,66320426.7,66320426.7,66320426.7
Near Earth Robotic - LEO Science,ADD,DTE,Yes,Baseline,33,320017.5,8131644.675000001,8131644.675000001,8237250.450000001,8342856.225000001,8448462.0,8448462.0
Near Earth Robotic - GEO and Near Earth,ADD,DTE,No,Baseline,11,169757.5,35180544.300000004,35180544.300000004,35180544.300000004,35180544.300000004,35180544.300000004,35180544.300000004
Near Earth Robotic - GEO and Near Earth,ADD,DTE,Yes,Baseline,11,169757.5,4313538.075000001,4313538.075000001,4369558.05,4425578.025,4481598.0,4481598.0
Deep Space Robotic,ADD,DTE,No,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep Space Robotic,ADD,DTE,Yes,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Near Earth Robotic - Low Latency & Complex Needs,ADD,DTE,No,Baseline,1,11281.0,2337874.44,2337874.44,2337874.44,2337874.44,2337874.44,2337874.44
Near Earth Robotic - Low Latency & Complex Needs,ADD,DTE,Yes,Baseline,1,11281.0,286650.21,286650.21,290372.94,294095.67000000004,297818.4,297818.4
Mission Operations,ADD,DTE,No,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,ADD,DTE,Yes,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,ADD,DTE,No,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,ADD,DTE,Yes,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human Space Flight,ADD,SR,No,Baseline,11,979242.0,63552805.800000004,71092969.2,71092969.2,71092969.2,67861470.60000001,73247301.60000001
Human Space Flight,ADD,SR,Yes,Baseline,11,979242.0,24774822.6,32314986.000000004,32314986.000000004,42009481.800000004,39855149.400000006,45240980.400000006
Near Earth Robotic - LEO Science,ADD,SR,No,Baseline,22,1669030.0,108320047.00000001,121171578.00000001,121171578.00000001,121171578.00000001,115663779.00000001,124843444.00000001
Near Earth Robotic - LEO Science,ADD,SR,Yes,Baseline,22,1669030.0,42226459.0,55077990.00000001,55077990.00000001,71601387.0,67929521.0,77109186.0
Near Earth Robotic - GEO and Near Earth,ADD,SR,No,Baseline,3,163.5,10611.150000000001,11870.1,11870.1,11870.1,11330.550000000001,12229.800000000001
Near Earth Robotic - GEO and Near Earth,ADD,SR,Yes,Baseline,3,163.5,4136.55,5395.5,5395.5,7014.150000000001,6654.450000000001,7553.700000000001
Deep Space Robotic,ADD,SR,No,Baseline,1,286.0,18561.4,20763.600000000002,20763.600000000002,20763.600000000002,19819.800000000003,21392.800000000003
Deep Space Robotic,ADD,SR,Yes,Baseline,1,286.0,7235.8,9438.0,9438.0,12269.400000000001,11640.2,13213.2
Near Earth Robotic - Low Latency & Complex Needs,ADD,SR,No,Baseline,2,4094.0,265700.60000000003,297224.4,297224.4,297224.4,283714.2,306231.2
Near Earth Robotic - Low Latency & Complex Needs,ADD,SR,Yes,Baseline,2,4094.0,103578.20000000001,135102.0,135102.0,175632.6,166625.80000000002,189142.80000000002
Mission Operations,ADD,SR,No,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,ADD,SR,Yes,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,ADD,SR,No,Baseline,11,95392.0,6190940.800000001,6925459.2,6925459.2,6925459.2,6610665.600000001,7135321.600000001
Terrestrial & Aerial,ADD,SR,Yes,Baseline,11,95392.0,2413417.6,3147936.0000000005,3147936.0000000005,4092316.8000000003,3882454.4000000004,4407110.4
Human Space Flight,FDDN,DTE,No,Baseline,3,173790.0,36016239.6,36016239.6,36016239.6,36016239.6,36016239.6,36016239.6
Human Space Flight,FDDN,DTE,Yes,Baseline,3,173790.0,4416003.900000001,4416003.900000001,4473354.6,4530705.300000001,4588056.0,4588056.0
Near Earth Robotic - LEO Science,FDDN,DTE,No,Baseline,27,261832.5,54262167.300000004,54262167.300000004,54262167.300000004,54262167.300000004,54262167.300000004,54262167.300000004
Near Earth Robotic - LEO Science,FDDN,DTE,Yes,Baseline,27,261832.5,6653163.825,6653163.825,6739568.550000001,6825973.275,6912378.000000001,6912378.000000001
Near Earth Robotic - GEO and Near Earth,FDDN,DTE,No,Baseline,9,138892.5,28784081.700000003,28784081.700000003,28784081.700000003,28784081.700000003,28784081.700000003,28784081.700000003
Near Earth Robotic - GEO and Near Earth,FDDN,DTE,Yes,Baseline,9,138892.5,3529258.4250000003,3529258.4250000003,3575092.95,3620927.475,3666762.0000000005,3666762.0000000005
Deep Space Robotic,FDDN,DTE,No,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep Space Robotic,FDDN,DTE,Yes,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Near Earth Robotic - Low Latency & Complex Needs,FDDN,DTE,No,Baseline,1,11281.0,2337874.44,2337874.44,2337874.44,2337874.44,2337874.44,2337874.44
Near Earth Robotic - Low Latency & Complex Needs,FDDN,DTE,Yes,Baseline,1,11281.0,286650.21,286650.21,290372.94,294095.67000000004,297818.4,297818.4
Mission Operations,FDDN,DTE,No,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,FDDN,DTE,Yes,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
